Title,Nouns,Verbs,Adjectives,Named Entities
BAD BOYS: RIDE OR DIE – Official Trailer (HD),"['trailer', 'ri', 'stomach', 'ginger', 'ale', 'ginger', 'ale', 'dog', 'yesterday', 'relish', 'motherfucker', 'thug', 'register', 'thug', 'skittle', 'counter', 'fuck', 'car', 'gun', 'head', 'sir', 'clerk', 'police', 'reggie', 'snack', 'sir', 'snack', 'job', 'daughter', 'evidence', 'drug', 'cartel', 'year', 'hell', 'side', 'fuck', 'fucker', 'fuck', 'shit', 'boy', 'name', 'detective', 'suspect', 'no', 'windshield', 'wiper', 'fluid', 'scientist', 'y’all', 'fugitive', 'clothe', 'shit', 'shirt', 'song', 'favorite', 'woman', 'woman', 'song', 'mixtape']","['come', 'check', 'come', 'slow', 'need', 'scream', 'get', 'put', 'give', 'put', 'open', 'stay', 'ai', 'shut', 'get', 'have', 'want', 'deal', 'want', 'deal', 'get', 'go', 'call', 'eat', 'eat', 'do', 'need', 'get', '’m', 'need', 'deploy', 'look', 'have', 'work', 'frame', 'let', 'go', 'texte', '’', 'see', '’m', 'do', 'go', 'trust', '’re', 'set', 'get', '’re', 'ai', 'need', 'get', 'do', 'steal', 'black', 'steal', 'look', 'sing', 'come', 'sing', ""i'm"", '’m', '’', 'go', 'do', 'go', 'ai', '’']","['hot', 'late', 'fresh', 'late', 'other', 'dead', 'high', 'bad', 'clear', 'careful', 'armed', 'dangerous', 'flammable', 'damn', 'terrible', 'fucking', 'nasty', 'little', 'strong', 'black', 'black']","['Mike', 'Mike', 'yesterday', 'Skittles', 'Marcus', 'n’t', 'Mike', 'Marcus', '911', 'Reggie', 'Conrad Howard', 'Miami PD  ', 'years', 'Howard', 'Marcus', 'Conrad Howard', 'Armando', 'Judy Howard', 'two', 'Lowrey', 'Burnett', 'Marcus', '5', 'Mike', 'Bad Boy', 'Reba', 'Reba', 'Reba']"
Monkey Man | Official Trailer 2,"['mother', 'name', 'name', 'boy', 'people', 'animal', 'man', 'god', 'man', 'beast', '-nobody', 'kid', 'gutter', 'ember', 'name']","['remember', 'know', 'know', 'take', 'see', 'break', 'wish', 'challenge', 'become', 'become', 'have', 'extinguish', 'become', 'burn', 'make', 'remember', 'remember']","['rich', 'more', 'crazy', 'small', 'ready']","['Hijra', 'one']"
