Title,Word Frequency,Sentiment,Length,Number of Characters,Entity Frequency,Topics,Genres
The Acolyte,"{'.': 12, 'is': 5, 'sol': 3, 'your': 3, '♪♪': 3, 'what': 3, 'youngling': 3, 'eyes': 2, '...': 2, 'i': 2, 'yord': 2, 'it': 2, ""n't"": 2, '?': 2, 'this': 2, 'about': 2, 'close': 1, 'can': 1, 'deceive': 1, 'you': 1, 'we': 1, 'must': 1, 'not': 1, 'trust': 1, 'them': 1, 'tell': 1, 'me': 1, 'comes': 1, 'into': 1, 'mind': 1, '1': 1, 'life': 1, '2': 1, 'balance': 1, '3': 1, 'see': 1, 'fire': 1, 'someone': 1, 'killing': 1, 'jedi': 1, 'does': 1, 'make': 1, 'sense': 1, 'happened': 1, 'convict': 1, 'sensed': 1, 'darkness': 1, 'aniseya': 1, 'good': 1, 'or': 1, 'bad': 1, 'power': 1, 'and': 1, 'who': 1, 'allowed': 1, 'to': 1, 'use': 1, 'jecki': 1, 'that': 1}",5.551115123125783e-17,400,14,"{'PERSON': 5, 'CARDINAL': 2}","[{'is': 0.045, '♪♪""\')': 0.045}, {'.': 0.061, '?""\')': 0.038}, {'YOUNGLING': 0.057, 'I""\')': 0.054}]",['Comedy']
Godzilla x Kong : The New Empire,"{'[': 22, ']': 22, '-': 13, '♪': 10, 'roaring': 7, 'scraping': 6, '.': 5, 'seismometer': 5, 'that': 4, '?': 4, '...': 3, 'we': 3, 'could': 3, 'on': 3, 'what': 3, 'world': 3, ""n't"": 3, 'this': 3, 'of': 2, 'welcome': 2, 'to': 2, 'my': 2, 'wo': 2, 'growling': 2, 'is': 2, 'kong': 2, 'ethereal': 1, 'voices': 1, 'needle': 1, 'for': 1, 'most': 1, 'human': 1, 'civilization': 1, 'believed': 1, 'life': 1, 'only': 1, 'exist': 1, 'rumbling': 1, 'the': 1, 'surface': 1, 'our': 1, 'planet': 1, 'else': 1, 'were': 1, 'wrong': 1, 'about': 1, 'screeching': 1, 'you': 1, 'come': 1, 'in': 1, 'has': 1, 'more': 1, 'secrets': 1, 'than': 1, 'possibly': 1, 'imagine': 1, 'miracles': 1, ',': 1, 'i': 1, 'guess': 1, 'still': 1, 'happen': 1, 'now': 1, 'and': 1, 'then': 1, ""'s"": 1, 'not': 1, 'have': 1, 'done': 1, 'low': 1, 'screaming': 1, 'ca': 1, 'stop': 1, 'his': 1, 'own': 1, 'he': 1, 'be': 1, 'alone': 1, 'crackling': 1, 'soundwaves': 1, 'warbling': 1, 'a': 1, 'mini-kong': 1, 'grunting': 1}",0.27,819,10,{},"[{'♪': 0.065, 'What""\')': 0.035}, {'-': 0.052, 'world""\')': 0.036}, {']': 0.126, 'roaring""\')': 0.041}]","['Action', 'Science Fiction', 'Adventure', 'Fantasy']"
Kingdom of the Planet of the Apes,"{'...': 16, '.': 15, 'proximus': 7, 'noa': 5, 'will': 5, '!': 4, 'is': 4, 'ape': 3, ',': 3, 'they': 3, 'and': 3, 'learn': 3, '[': 2, 'roars': 2, ']': 2, 'yes': 2, 'you': 2, 'the': 2, 'of': 2, '?': 2, 'time': 2, 'humans': 2, 'could': 2, 'fly': 2, 'it': 2, 'apes': 2, 'i': 2, 'raka': 2, 'that': 2, 'hunt': 2, 'together': 2, 'are': 1, 'familiar': 1, 'with': 1, 'concept': 1, 'evolution': 1, 'in': 1, 'their': 1, 'were': 1, 'capable': 1, 'many': 1, 'great': 1, 'things': 1, 'kid': 1, 'like': 1, 'eagles': 1, 'speak': 1, 'across': 1, 'oceans': 1, 'but': 1, 'now': 1, 'our': 1, 'my': 1, 'kingdom': 1, 'we': 1, 'conquer': 1, 'legend': 1, 'says': 1, 'human': 1, 'lived': 1, 'side-by-side': 1, 'impossible': 1, 'as': 1, 'may': 1, 'seem': 1, 'why': 1, 'do': 1, 'her': 1, 'she': 1, 'smarter': 1, 'than': 1, 'most': 1, 'elders': 1, 'did': 1, 'not': 1, 'tell': 1, 'us': 1, 'everything': 1, 'about': 1, 'this': 1, 'world': 1, 'bend': 1, 'for': 1, 'your': 1, 'king': 1, 'wrong': 1, 'die': 1, 'no': 1, 'strong': 1}",0.3350378787878788,736,22,{'ORG': 6},"[{'will': 0.064, 'learn""\')': 0.041}, {'.': 0.047, 'NOA""\')': 0.034}, {'PROXIMUS': 0.061, 'fly""\')': 0.042}]","['Science Fiction', 'Adventure', 'Action']"
Monkey Man,"{'.': 23, ',': 9, '-': 8, '[': 8, 'voice': 8, ']': 8, 'to': 8, 'the': 8, 'you': 7, 'a': 6, 'i': 5, 'for': 5, 'and': 4, 'of': 4, '!': 4, 'are': 4, 'do': 4, ""n't"": 4, 'your': 3, 'me': 3, 'it': 3, 'will': 2, 'my': 2, 'mother': 2, 'they': 2, 'people': 2, 'this': 2, 'us': 2, 'one': 2, 'who': 2, 'place': 2, 'not': 2, 'every': 2, ""'ve"": 2, 'call': 2, ""'s"": 2, 'fight': 2, 'son': 2, 'close': 1, 'eyes': 1, 'find': 1, 'yourself': 1, 'when': 1, 'was': 1, 'boy': 1, 'used': 1, 'tell': 1, 'story': 1, 'demon': 1, 'king': 1, 'his': 1, 'army': 1, 'brought': 1, 'fire': 1, 'terror': 1, 'land': 1, 'devil': 1, 'sister': 1, 'until': 1, 'faced': 1, 'protector': 1, 'white': 1, 'monkey': 1, 'there': 1, 'beast': 1, 'in': 1, 'city': 1, 'rich': 1, 'see': 1, 'as': 1, 'give': 1, 'job': 1, 'no': 1, 'wants': 1, ""'ll"": 1, 'anyone': 1, 'forgets': 1, 'their': 1, 'does': 1, 'turn': 1, 'out': 1, 'well': 1, 'them': 1, 'is': 1, 'work': 1, 'if': 1, 'ca': 1, 'handle': 1, 'that': 1, 'sort': 1, 'stuff': 1, 'day': 1, 'prayed': 1, 'way': 1, 'protect': 1, 'weak': 1, 'got': 1, 'an': 1, 'answer': 1, 'prayer': 1, 'her': 1, 'nicki': 1, 'minaj': 1, 'big': 1, 'bumper': 1, 'nice': 1, 'headlights': 1, 'let': 1, 'boogie': 1, 'need': 1, 'all': 1, 'anger': 1, 'quiet': 1, 'soul': 1, 'time': 1, 'remember': 1, 'just': 1, 'small': 1, 'ember': 1, 'can': 1, 'burn': 1, 'down': 1, 'everything': 1, 'ladies': 1, 'gentleman': 1, 'ready': 1, '?': 1, 'yeah': 1}",-0.0082754629629629,996,28,"{'ORG': 2, 'PERSON': 1, 'CARDINAL': 1}","[{'the': 0.037, '.""\')': 0.037}, {',': 0.053, 'for""\')': 0.031}, {'Voice': 0.059, '-""\')': 0.059}]","['Action', 'Thriller']"
Oppenheimer,"{'.': 24, 'the': 13, 'a': 10, '?': 9, 'we': 8, '...': 8, ""'s"": 7, 'this': 6, ',': 6, 'is': 5, 'it': 5, 'you': 5, 'world': 5, 'and': 4, 'what': 4, 'would': 4, 'to': 4, 'in': 3, 'know': 3, 'how': 3, 'that': 3, 'do': 3, ""n't"": 3, 'why': 3, 'of': 3, 'are': 3, 'zero': 3, ""'re"": 2, 'nazis': 2, 'i': 2, 'if': 2, 'have': 2, 'bomb': 2, 'head': 2, 'here': 2, 'there': 2, 'until': 2, 'let': 2, 'go': 2, 'scientists': 2, 'build': 2, 'never': 2, 'who': 2, 'destroy': 2, 'near': 2, 'be': 2, 'our': 2, 'will': 2, 'next': 2, 'national': 1, 'emergency': 1, 'detonator': 1, 'charged': 1, 'race': 1, 'against': 1, 'means': 1, 'they': 1, '12': 1, 'month': 1, 'start': 1, '-18.': 1, 'could': 1, 'possibly': 1, ""'ve"": 1, 'got': 1, 'one': 1, 'hope': 1, 'all': 1, ""america's"": 1, 'industrial': 1, 'might': 1, 'scientific': 1, 'innovation': 1, 'connected': 1, 'secret': 1, 'laboratory': 1, 'keep': 1, 'everyone': 1, 'done': 1, 'recruit': 1, 'some': 1, 'town': 1, 'fast': 1, 'bring': 1, 'their': 1, 'families': 1, ""'ll"": 1, 'get': 1, 'best': 1, 'middle': 1, 'nowhere': 1, 'for': 1, 'knows': 1, 'long': 1, 'about': 1, 'because': 1, 'most': 1, 'important': 1, 'thing': 1, 'ever': 1, 'happen': 1, 'history': 1, 'great': 1, 'improviser': 1, 'but': 1, 'ca': 1, 'your': 1, 'saying': 1, 'chance': 1, 'when': 1, 'push': 1, 'button': 1, 'chances': 1, 'want': 1, 'from': 1, 'theory': 1, 'alone': 1, 'nice': 1, 'matter': 1, 'life': 1, 'death': 1, 'can': 1, 'perform': 1, 'miracle': 1, 'war': 1, 'ii': 1, 'over': 1, 'boys': 1, 'come': 1, 'home': 1, 'happening': 1, 'remember': 1, 'day': 1, 'work': 1, 'ensure': 1, 'peace': 1, 'mankind': 1, 'has': 1, 'seen': 1, 'somebody': 1, 'builds': 1, 'bigger': 1, 'man': 1, 'gave': 1, 'them': 1, 'power': 1, 'themselves': 1, 'not': 1, 'prepared': 1, 'eight': 1, 'seven': 1, 'six': 1, 'five': 1, 'four': 1, 'three': 1, 'truman': 1, 'needs': 1, 'two': 1, '-one': 1}",0.1676470588235294,1384,35,"{'CARDINAL': 7, 'NORP': 2, 'DATE': 2, 'GPE': 1, 'EVENT': 1}","[{'...': 0.041, 'a""\')': 0.036}, {'the': 0.029, '.""\')': 0.029}, {""\\'s"": 0.026, 'would""\')': 0.026}]","['Drama', 'History']"
Fighter,"{'.': 36, 'you': 12, 'the': 11, '!': 11, 'a': 8, '...': 8, 'in': 7, 'for': 7, 'is': 6, 'but': 6, 'are': 5, 'will': 5, '?': 5, 'no': 5, 'hind': 5, 'to': 4, 'it': 4, 'your': 4, ',': 4, 'be': 4, 'now': 4, '-jai': 4, 'who': 3, 'them': 3, 'of': 3, 'and': 3, 'with': 3, 'me': 3, 'my': 3, 'attack': 3, 'more': 3, 'our': 3, 'time': 3, 'we': 3, 'an': 3, 'i': 3, 'pakistan': 3, 'many': 3, 'this': 3, 'have': 3, 'coffin': 3, 'wrapped': 3, 'occupied': 3, 'just': 2, 'someone': 2, 'indian': 2, 'air': 2, 'force': 2, 'that': 2, 'why': 2, 'us': 2, 'team': 2, 'each': 2, 'other': 2, 'war': 2, 'show': 2, 'from': 2, 'terror': 2, 'than': 2, 'pok': 2, 'want': 2, 'eye': 2, 'they': 2, 'there': 2, 'can': 2, 'every': 2, 'single': 2, 'price': 2, 'die': 2, 'am': 2, 'hit': 2, 'fighter': 1, 'not': 1, 'achieves': 1, 'his': 1, 'targets': 1, 'he': 1, 'blows': 1, 'apart': 1, 'all': 1, 'top': 1, 'aviators': 1, '’': 1, 's': 1, 'were': 1, 'hand-picked': 1, 'by': 1, 'form': 1, 'quick': 1, 'response': 1, 'get': 1, 'know': 1, 'bond': 1, ""'s"": 1, 'interpersonal': 1, 'relationships': 1, 'help': 1, 'win': 1, '-what': 1, 'hell': 1, '-caught': 1, 'minni': 1, 'arrogant': 1, 'confident': 1, 'come': 1, 'let': 1, 'jammu': 1, 'ex': 1, 'was': 1, 'here': 1, 'maybe': 1, 'next': 1, 'could': 1, 'deadliest': 1, 'on': 1, 'forces': 1, '40': 1, 'brave': 1, 'soldiers': 1, 'lost': 1, 'their': 1, 'lives': 1, 'bomb': 1, 'blasts': 1, '26/11': 1, 'pulwama': 1, 'past': 1, '50': 1, 'years': 1, 'government': 1, 'has': 1, 'given': 1, 'befitting': 1, 'reply': 1, 'enough': 1, 'boss': 1, 'entering': 1, 'mission': 1, 'go': 1, 'indians': 1, 'trapped': 1, 'incoming': 1, 'missiles': 1, 'revenge': 1, 'betrayal': 1, 'carried': 1, 'out': 1, 'suicide': 1, 'while': 1, 'replied': 1, 'strike': 1, 'four': 1, 'f-16s': 1, 'heading': 1, 'towards': 1, 'srinagar': 1, 'wo': 1, ""n't"": 1, 'any': 1, 'attacks': 1, 'fire': 1, 'find': 1, 'lovers': 1, 'world': 1, 'so': 1, 'happiness': 1, 'decided': 1, 'make': 1, 'cry': 1, 'lover': 1, 'compete': 1, 'love': 1, 'country': 1, 'pays': 1, 'ego': 1, 'too': 1, 'pay': 1, 'diamonds': 1, 'gold': 1, 'sir': 1, 'need': 1, 'beautiful': 1, 'tricolor': 1, 'stands': 1, 'kashmir': 1, 'actual': 1, 'owners': 1, 'if': 1, 'terrorists': 1, 'like': 1, 'push': 1, 'beyond': 1, 'limits': 1, 'tolerance': 1, 'then': 1, 'inch': 1, 'turn': 1, 'into': 1, 'iop': 1, 'india': 1, 'jai': 1}",0.3167443064182195,1859,54,"{'PERSON': 9, 'GPE': 5, 'ORG': 3, 'NORP': 2, 'CARDINAL': 2, 'DATE': 1, 'LOC': 1}","[{'!': 0.032, 'the""\')': 0.023}, {'in': 0.027, '?""\')': 0.027}, {'is': 0.03, '...""\')': 0.021}]","['Action', 'Drama', 'Romance']"
CUCKOO,"{'.': 47, 'you': 26, 'i': 18, 'to': 14, '?': 10, 'the': 10, 'come': 8, '’': 8, 'want': 6, 'is': 6, 'your': 6, ""'m"": 6, 'have': 6, ""n't"": 6, 'why': 6, 'would': 6, 'me': 6, 'for': 6, 'here': 6, ',': 4, 'it': 4, 's': 4, 'how': 4, 'good': 4, 'up': 4, 'about': 4, 'like': 4, 'were': 4, 'that': 4, 'a': 4, 'our': 4, 'mom': 2, 'really': 2, 'home': 2, 'getting': 2, 'bad': 2, 'journey': 2, 'very': 2, 'pleasant': 2, '(': 2, ')': 2, 'thank': 2, 'gretchen': 2, 'say': 2, 'hi': 2, 'what': 2, 'neighbor': 2, 'heard': 2, 'work': 2, 'at': 2, 'resort': 2, 'this': 2, 'happens': 2, 'sometimes': 2, 'look': 2, 'do': 2, 'belong': 2, 'there': 2, 'nobody': 2, 'working': 2, 'reception': 2, 'after': 2, 'ten': 2, 'lock': 2, 'doors': 2, 'and': 2, 'wait': 2, 'm': 2, 'gon': 2, 'na': 2, 'pick': 2, 'right': 2, 'now': 2, 'if': 2, 'get': 2, 'hurt': 2, 'even': 2, 'more': 2, 'did': 2, 'bring': 2, 'us': 2, 'family': 2, 'belongs': 2, ""'s"": 2, 'fucking': 2, 'weird': 2, 'way': 2, 'put': 2, 'told': 2, 'police': 2, 'chased': 2, 'by': 2, 'woman': 2, 'they': 2, 'think': 2, 'crazy': 2, 'nature': 2, 'quite': 2, 'remarkable': 2, 'don': 2, 't': 2, 'feel': 2, 'so': 2, 'we': 2, 'go': 2, 'some': 2, 'species': 2, 'need': 2, 'help': 2, 'giving': 2, 'chance': 2, 'be': 2, 'of': 2, 'great': 2, 'use': 2, 'in': 2, 'quest': 2, 'preservation': 2, 'consider': 2, 'yourself': 2, 'lucky': 2}",0.2632600732600733,1754,57,{'CARDINAL': 2},"[{'you': 0.064, 'I""\')': 0.04}, {'I': 0.049, '’""\')': 0.037}, {'you': 0.047, 'here""\')': 0.046}]","['Horror', 'Thriller', 'Mystery']"
TWISTERS,"{'.': 11, 'you': 9, ',': 5, ""'s"": 5, 'it': 4, '!': 4, '?': 4, 'we': 3, 'guys': 2, 'there': 2, 'got': 2, 'do': 2, 'that': 2, 'tornado': 2, 'if': 2, 'feel': 2, 'it-': 2, 'chase': 2, 'she': 2, 'a': 2, 'twins': 2, 'whatever': 1, 'in': 1, 'is': 1, 'big': 1, 'and': 1, 'moving': 1, 'fast': 1, 'drive': 1, 'look': 1, 'out': 1, 'ta': 1, 'get': 1, 'outta': 1, 'hear': 1, 'me': 1, 'tyler': 1, 'owens': 1, 'calls': 1, 'himself': 1, 'wrangler': 1, 'i': 1, 'said': 1, 'all': 1, 'right': 1, 'here': 1, 'go': 1, 'oh': 1, 'perfect': 1, 'gorgeous': 1, 'thought': 1, 'could': 1, 'destroy': 1, 'never': 1, 'had': 1, 'chance': 1, 'want': 1, 'one': 1, ""n't"": 1, 'face': 1, 'your': 1, 'fears': 1, '...': 1, 'ride': 1, ""'em"": 1, 'was': 1, 'nope': 1}",0.3543898809523809,450,19,{'PERSON': 2},"[{',': 0.05, 'got""\')': 0.028}, {'it': 0.054, 'you""\')': 0.042}, {'You': 0.058, '\\\'s""\')': 0.047}]","['Action', 'Adventure', 'Drama']"
BACK TO BLACK,"{'.': 22, 'i': 15, ',': 11, 'to': 10, 'my': 6, ""'s"": 6, 'the': 6, 'do': 5, 'you': 5, ""n't"": 4, 'amy': 3, 'na': 3, 'one': 3, 'got': 3, 'that': 3, 'be': 3, 'songs': 3, 'want': 2, 'voice': 2, '!': 2, 'and': 2, 'just': 2, 'for': 2, 'know': 2, 'what': 2, 'girl': 2, '?': 2, 'need': 2, 'this': 2, 'from': 2, 'it': 2, 'gon': 2, 'of': 2, ""'ve"": 2, 'ever': 2, 'someone': 2, 'bad': 2, 'album': 2, 'a': 2, 'famous': 2, ""'re"": 2, 'write': 2, 'people': 1, 'hear': 1, 'winehouse': 1, 'forget': 1, 'their': 1, 'troubles': 1, 'five': 1, 'minutes': 1, 'power': 1, 'means': 1, 'me': 1, 'sarah': 1, 'vaughan': 1, 'lauryn': 1, 'hill': 1, 'ai': 1, 'no': 1, 'spice': 1, 'primary': 1, 'school': 1, 'sell-out': 1, 'concerts': 1, 'happen': 1, 'these': 1, 'days': 1, 'like': 1, 'yours': 1, 'best': 1, 'heard': 1, 'daughter': 1, 'met': 1, 'tonight': 1, 'stay': 1, 'lucky': 1, 'an': 1, 'eye': 1, 'boys': 1, 'tada': 1, 'number': 1, 'around': 1, 'world': 1, 'highest': 1, 'charting': 1, 'british': 1, 'female': 1, 'artist': 1, 'in': 1, 'us': 1, '...': 1, 'think': 1, 'was': 1, 'put': 1, 'on': 1, 'earth': 1, 'sing': 1, 'wan': 1, 'your': 1, 'wife': 1, 'mum': 1, 'probably': 1, 'run': 1, 'off': 1, 'with': 1, 'anyway': 1, 'heartbeat': 1, 'soul': 1, 'love': 1, 'bang': 1, 'out': 1, 'ten': 1, 'hits': 1, 'by': 1, 'lunch': 1, 'live': 1, 'so': 1, ""'m"": 1, 'go': 1, 'ready': 1, ""'cause"": 1, 'make': 1, ""somethin'"": 1, 'good': 1, 'outta': 1, 'somethin': 1, ""'"": 1}",0.192478354978355,981,26,"{'PERSON': 6, 'CARDINAL': 4, 'TIME': 2, 'GPE': 2, 'DATE': 1, 'NORP': 1}","[{'someone': 0.019, 'the""\')': 0.019}, {'.': 0.058, 'to""\')': 0.046}, {',': 0.042, 'my""\')': 0.036}]","['Music', 'Drama']"
Despicable Me 4,"{'!': 19, ',': 16, '.': 14, 'gru': 5, 'i': 5, 'no': 5, '?': 4, 'a': 4, 'what': 3, ""'s"": 3, 'you': 3, 'on': 3, 'it': 3, 'of': 3, 'he': 3, 'the': 3, 'is': 2, 'this': 2, 'my': 2, 'love': 2, 'your': 2, 'dada': 2, '``': 2, ""''"": 2, 'just': 2, 'his': 2, 'with': 2, 'has': 2, 'to': 2, 'oh': 2, 'hello': 1, 'everybody': 1, 'up': 1, 'yay': 1, 'wait': 1, 'minute': 1, 'three': 1, 'girls': 1, 'one': 1, 'wife': 1, 'something': 1, 'missing': 1, 'guy': 1, 'ooh': 1, 'there': 1, 'boy': 1, 'know': 1, 'go': 1, 'say': 1, 'da-da': 1, 'yes': 1, 'course': 1, 'loves': 1, '...': 1, ""doesn't"": 1, 'show': 1, 'face-': 1, 'or': 1, 'body': 1, 'language': 1, 'right': 1, 'jr.': 1, 'come': 1, 'illumination': 1, 'need': 1, 'word': 1, 'family': 1, 'lives': 1, 'are': 1, 'at': 1, 'stake': 1, 'max': 1, 'superball': 1, 'escaped': 1, 'from': 1, 'prison': 1, ""'m"": 1, 'coming': 1, 'for': 1, 'revenge': 1, 'we': 1, 'have': 1, 'get': 1, 'safe': 1, 'house': 1, 'vending': 1, 'machine': 1, 'place': 1, 'ow': 1, 'most': 1, 'important': 1, 'part': 1, 'heist': 1, 'being': 1, 'aware': 1, 'potential': 1, 'dangers': 1, 'tranqed': 1, 'myself': 1, 'aw': 1, 'intruders': 1, 'ah-ha': 1, 'thanks': 1, 'ron': 1, 'hey': 1, 'fire': 1, 'in': 1, 'hole': 1}",0.3895535714285714,741,37,"{'PERSON': 4, 'CARDINAL': 2, 'LOC': 2}","[{'?': 0.03, '.""\')': 0.03}, {'.': 0.042, 'of""\')': 0.032}, {'!': 0.092, '.""\')': 0.057}]","['Animation', 'Family', 'Comedy', 'Adventure']"
Monkey Man,"{'.': 13, '?': 6, 'do': 5, 'a': 5, 'you': 4, 'he': 4, 'remember': 3, 'me': 3, ',': 3, 'the': 3, 'to': 3, 'know': 2, 'name': 2, 'of': 2, 'everything': 2, 'from': 2, 'us': 2, 'them': 2, 'we': 2, ""'re"": 2, 'man': 2, 'must': 2, 'become': 2, 'just': 2, 'your': 2, 'even': 1, 'my': 1, 'mother': 1, ""'s"": 1, 'hijra': 1, '!': 1, 'any': 1, 'their': 1, 'names': 1, 'when': 1, 'i': 1, 'was': 1, 'boy': 1, 'they': 1, 'took': 1, 'rich': 1, ""n't"": 1, 'see': 1, 'as': 1, 'people': 1, 'animals': 1, 'both': 1, 'broken': 1, 'if': 1, 'wishes': 1, 'challenge': 1, 'gods': 1, 'more': 1, 'than': 1, 'beast': 1, 'who': 1, 'is': 1, '-nobody': 1, 'some': 1, 'crazy': 1, 'kid': 1, 'gutter': 1, 'has': 1, 'be': 1, 'extinguished': 1, 'before': 1, 'nobody': 1, 'becomes': 1, 'somebody': 1, 'one': 1, 'small': 1, 'ember': 1, 'can': 1, 'burn': 1, 'down': 1, 'make': 1, 'are': 1, 'ready': 1, 'yeah': 1, 'now': 1}",-0.0472222222222222,559,20,"{'PERSON': 1, 'CARDINAL': 1}","[{'a': 0.051, ',""\')': 0.035}, {'from': 0.024, 'everything""\')': 0.024}, {'Do': 0.075, 'you""\')': 0.073}]","['Action', 'Thriller']"
YODHA,"{'.': 26, ',': 13, 'the': 10, 'you': 6, 'it': 5, 'arun': 5, '?': 5, 'an': 5, 'indian': 4, 'to': 4, 'my': 3, 'till': 3, 'i': 3, 'this': 3, 'in': 3, '!': 3, 'and': 3, 'not': 3, 'is': 3, ""'s"": 3, 'country': 3, 'exist': 3, 'like': 2, 'was': 2, 'too': 2, 'we': 2, 'must': 2, 'uniform': 2, 'or': 2, 'be': 2, ""n't"": 2, 'of': 2, 'on': 2, 'can': 2, ""'re"": 2, 'but': 2, 'forever': 2, 'has': 2, 'been': 2, 'hijacked': 2, 'them': 2, 'will': 2, 'everyone': 1, 'dreams': 1, 'about': 1, 'becoming': 1, 'their': 1, 'father': 1, 'dream': 1, 'get': 1, 'orders': 1, 'negotiate': 1, 'wait': 1, 'decided': 1, 'that': 1, 'either': 1, ""i'll"": 1, 'always': 1, 'wear': 1, 'corpse': 1, 'would': 1, 'wrapped': 1, 'our': 1, 'flag': 1, 'how': 1, 'many': 1, 'times': 1, 'do': 1, 'believe': 1, 'chain': 1, 'command': 1, 'important': 1, 'mission': 1, 'small': 1, 'mistakes': 1, 'happen': 1, 'senorita': 1, 'soldiers': 1, 'are': 1, 'quite': 1, 'sentimental': 1, 'crazy': 1, 'they': 1, 'protectors': 1, 'enemies': 1, 'all': 1, 'suspended': 1, 'end': 1, 'inquiry': 1, 'suits': 1, 'son': 1, 'need': 1, 'earn': 1, 'then': 1, 'respect': 1, 'cabin': 1, 'crew': 1, 'stations': 1, 'preparing': 1, 'for': 1, 'departure': 1, 'pilot': 1, 'squawking': 1, 'at': 1, 'frequency': 1, '7500.': 1, 'official': 1, 'hijack': 1, 'now': 1, 'breaking': 1, 'news': 1, 'passenger': 1, 'flight': 1, 'who': 1, 'on-flight': 1, 'commando': 1, 'suspected': 1, 'hijacker': 1, 'soldier': 1, 'aircraft': 1, 'flying': 1, 'through': 1, 'pakistan': 1, 'ca': 1, 'a': 1, 'coincidence': 1, 'what': 1, 'going': 1, 'sent': 1, 'three': 1, 'terrorists': 1, ""'"": 1, 'names': 1, 'located': 1, 'ab175': 1, 'requesting': 1, 'emergency': 1, 'landing': 1, 'sit': 1, 'back': 1, 'watch': 1, 'serving': 1, 'his': 1, 'meant': 1, 'world': 1, 'him': 1, 'your': 1, 'cease': 1, 'whether': 1, 'army': 1, 'arrives': 1, 'engage': 1, 'negotiation': 1, 'negotiating': 1, 'never': 1, 'yodha': 1, 'style': 1}",-0.0214285714285714,1311,35,"{'NORP': 5, 'PERSON': 2, 'GPE': 1, 'CARDINAL': 1, 'FAC': 1}","[{',': 0.051, 'Arun""\')': 0.027}, {'Indian': 0.028, '!""\')': 0.02}, {'the': 0.028, 'in""\')': 0.021}]","['Drama', 'Action']"
Civil War,"{'.': 23, 'the': 17, ',': 12, 'you': 6, '?': 6, 'of': 6, '!': 6, 'go': 6, 'to': 5, 'on': 5, 'we': 5, 'a': 4, 'move': 4, 'in': 4, 'i': 4, 'states': 3, 'western': 3, 'forces': 3, 'with': 3, 'are': 3, 'there': 3, ""'s"": 3, 'america': 3, 'what': 3, 'it': 3, 'do': 3, 'american': 3, ""'re"": 3, 'god': 3, 'have': 2, 'united': 2, 'white': 2, 'house': 2, 'as': 2, 'president': 2, 'will': 2, 'me': 2, 'know': 2, 'try': 2, 'like': 2, 'all': 2, 'for': 2, 'citizens': 2, 'and': 2, 'they': 2, 'every': 2, 'this': 2, ""n't"": 2, 'here': 2, 'kind': 2, 'okay': 2, 'get': 2, 'car': 2, 'back': 2, '19': 1, 'seceded': 1, 'army': 1, 'ramps': 1, 'up': 1, 'activity': 1, 'issued': 1, 'warnings': 1, 'well': 1, 'florida': 1, 'alliance': 1, 'three-term': 1, 'assures': 1, 'uprising': 1, 'be': 1, 'dealt': 1, 'swiftly': 1, 'let': 1, 'if': 1, 'want': 1, 'anything': 1, 'guys': 1, 'aware': 1, 'pretty': 1, 'huge': 1, 'civil': 1, 'war': 1, 'going': 1, 'across': 1, 'just': 1, 'stay': 1, 'out': 1, 'see': 1, 'news': 1, 'seems': 1, 'best': 1, 'so-called': 1, 'texas': 1, 'california': 1, 'suffered': 1, 'very': 1, 'great': 1, 'defeat': 1, 'at': 1, 'hands': 1, 'military': 1, 'mr.': 1, 'regret': 1, 'use': 1, 'air': 1, 'strikes': 1, 'against': 1, 'run': 1, 'moving': 1, 'dc': 1, 'today': 1, 'need': 1, 'down': 1, 'shoot': 1, 'journalists': 1, 'sight': 1, 'capital': 1, 'instinct': 1, 'says': 1, 'is': 1, 'death': 1, 'flood': 1, 'time': 1, 'survived': 1, 'war-zone': 1, 'thought': 1, 'was': 1, 'sending': 1, 'warning': 1, 'home': 1, ""'do"": 1, ""'"": 1, 'but': 1, 'some': 1, 'misunderstanding': 1, 'reach': 1, 'july': 1, '4th': 1, 'oh': 1, 'my': 1, 'gon': 1, 'na': 1, 'hang': 1, ""'m"": 1, 'not': 1, 'hanging': 1, 'one': 1, 'nation': 1, 'under': 1, 'indivisible': 1, 'liberty': 1, 'justice': 1, 'bless': 1}",0.2306878306878306,1343,35,"{'ORG': 8, 'GPE': 6, 'CARDINAL': 3, 'NORP': 3, 'DATE': 2, 'PERSON': 1}","[{""\\'re"": 0.028, 'The""\')': 0.016}, {',': 0.051, 'the""\')': 0.032}, {'the': 0.033, '?""\')': 0.024}]","['Action', 'Science Fiction', 'Drama']"
